Issuing Body,Regulation Name,Type of Regulation,Date Issued/Significantly Updated,Sector,Status,Summary,Healthcare Implications,Impact Level,Keyword Tags,Stakeholder Tags,Link to Text
Centers for Medicare & Medicaid Services,Medicare Program: Hospital Outpatient Prospective Payment and ASC Payment Systems; Price Transparency; Radiation Oncology Model,Final Rule,2021-11-16,Healthcare,Finalized,"Finalizes CY 2022 Physician Fee Schedule updates and associated Part B policy changes, including coding/valuation, telehealth, and QPP provisions.","Impacts outpatient care delivery, documentation, and reporting–including AI‑assisted coding and virtual care workflows.",Low,,Providers & Health Systems; Patients & Public; Payers & Purchasers,https://www.federalregister.gov/documents/2021/11/16/2021-23972/medicare-program-cy-2022-payment-policies-under-the-physician-fee-schedule-and-other-changes-to-part
Centers for Medicare & Medicaid Services,Medicare Program; Hospital Inpatient Prospective Payment Systems and FY 2022 Rates,Final Rule,2021-08-13,Hospitals; Long-Term Care Hospitals,Finalized,"Medicare payment policy update for the specified year (IPPS/OPPS), including payment rate recalibrations, quality reporting program changes, and technical corrections.",Expect adjustments to EHR-linked reporting and documentation. AI‑enabled analytics used for quality and revenue integrity should reflect updated specifications.,Low,,Providers & Health Systems; Patients & Public; Payers & Purchasers; Developers & Vendors,https://www.federalregister.gov/documents/2021/08/13/2021-16519/medicare-program-hospital-inpatient-prospective-payment-systems-for-acute-care-hospitals-and-the
Centers for Medicare & Medicaid Services,Medicare Program: Hospital Outpatient Prospective Payment and ASC Payment Systems; Prior Authorization; COVID-19 Reporting and Other Policies,Final Rule,2020-12-29,Healthcare,Finalized,"Finalizes CY 2021 Physician Fee Schedule updates, including E/M coding changes, telehealth expansions, and various Part B policy clarifications.","E/M and telehealth changes drive updates to EHR templates, coding automation, and AI‑assisted documentation/triage tools.",Low,,Providers & Health Systems; Patients & Public; Payers & Purchasers; Regulators & Government,https://www.federalregister.gov/documents/2020/12/29/2020-26819/medicare-program-hospital-outpatient-prospective-payment-and-ambulatory-surgical-center-payment
Centers for Medicare & Medicaid Services,Medicare and Medicaid Programs; CY 2021 Physician Fee Schedule and Other Part B Policies,Final Rule,2020-12-28,Cross-cutting AI policy,Finalized,Companion entry tied to CY 2021 PFS final rule release timing and technical corrections.,"Same implications for coding, telehealth, and AI‑assisted outpatient workflows.",Low,,Patients & Public; Payers & Purchasers; Developers & Vendors,https://www.federalregister.gov/documents/2020/12/28/2020-26815/medicare-program-cy-2021-payment-policies-under-the-physician-fee-schedule-and-other-changes-to-part
Centers for Medicare & Medicaid Services,Medicare Program; Revisions to Payment Policies Under the Physician Fee Schedule and Other Part B for CY 2019,Final Rule,2018-11-23,Healthcare,Finalized,"Finalizes CY 2019 updates to the Medicare Physician Fee Schedule (PFS) and other Part B policies, including E/M documentation changes, telehealth-related services, and quality program updates. Adjusts relative value units and addresses coding/valuation changes. Includes technical corrections and clarifications across Part B benefits.","Affects outpatient reimbursement and reporting that drive EHR configuration, coding workflows, and AI‑assisted documentation. Telehealth provisions help define coverage pathways for virtual services supported by AI screening/triage. Clinician groups should align analytics and quality reporting tools with CY 2019 specifications.",Low,Clinical Quality & Efficacy,Patients & Public; Payers & Purchasers; Developers & Vendors,https://www.federalregister.gov/documents/2018/11/23/2018-24170/medicare-program-revisions-to-payment-policies-under-the-physician-fee-schedule-and-other-revisions
Centers for Medicare & Medicaid Services,Medicare Program; Revisions to Payment Policies Under the Physician Fee Schedule and Other Part B for CY 2017,Final Rule,2016-11-15,Healthcare,Finalized,"Finalizes CY 2017 changes to the Medicare PFS and related Part B policies, including updates to the Value Modifier and quality programs, coding/valuation adjustments, and other technical changes. Establishes policies foundational to later QPP implementation.",Impacts physician billing and reporting practices that interact with EHR templates and AI‑assisted coding. Quality program changes inform measure capture and analytics pipelines used for performance tracking.,Low,,Providers & Health Systems; Payers & Purchasers; Developers & Vendors,https://www.federalregister.gov/documents/2016/11/15/2016-26668/medicare-program-revisions-to-payment-policies-under-the-physician-fee-schedule-and-other-revisions
Centers for Medicare & Medicaid Services,Nondiscrimination in Health Programs and Activities,Final Rule,2024-05-06,Healthcare,Closed for Comments,"Implements Section 1557 of the Affordable Care Act for HHS programs, prohibiting discrimination on the basis of race, color, national origin, sex, age, or disability in certain health programs and activities. Establishes requirements for grievance procedures, notices, language access, and reasonable modifications.",Health plans and providers must integrate nondiscrimination practices into operations and digital tools. AI‑mediated triage and decision support should incorporate safeguards against discriminatory outcomes and provide appropriate language access and accommodations.,High,Equity & Bias,Providers & Health Systems; Patients & Public; Payers & Purchasers,https://www.federalregister.gov/documents/2024/05/06/2024-08711/nondiscrimination-in-health-programs-and-activities
Centers for Medicare & Medicaid Services,Medicare Program: Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems; Quality Reporting Programs; Price Transparency; Radiation Oncology Model (CY 2021 OPPS/ASC),Final Rule,2021-11-16,Healthcare,Final rule; effective,"Updates the Medicare hospital Outpatient Prospective Payment System (OPPS) and Ambulatory Surgical Center (ASC) payments for CY 2022; adjusts packaging, device pass‑throughs, and Outpatient Quality Reporting (OQR) measures; and finalizes various policy clarifications.",Influences outpatient coding and reimbursement; hospitals and ASCs should update EHR charge capture and quality dashboards. AI‑assisted documentation integrity and utilization analytics should reflect CY 2022 OPPS/OQR specifications.,Low,,Providers & Health Systems; Patients & Public; Payers & Purchasers; Developers & Vendors,https://www.federalregister.gov/documents/2021/11/16/2021-24011/medicare-program-hospital-outpatient-prospective-payment-and-ambulatory-surgical-center-payment
Centers for Medicare & Medicaid Services,Medicare Program: Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems (CY 2023 OPPS/ASC),Final Rule,2023-11-22,Healthcare,Final rule; effective,"Finalizes CY 2024 updates to OPPS and ASC payment systems, revising payment rates, device pass‑through policies, and OQR/ASCQR measures. Includes clarifications and technical changes across outpatient policy areas.",Outpatient reimbursement and reporting updates affect AI‑assisted coding/analytics and quality measure extraction. Hospitals and ASCs should verify measure logic and documentation templates against CY 2024 rules.,Low,,Providers & Health Systems; Patients & Public; Payers & Purchasers; Developers & Vendors,https://www.federalregister.gov/documents/2023/11/22/2023-24293/medicare-program-hospital-outpatient-prospective-payment-and-ambulatory-surgical-center-payment
HHS / SAMHSA,Confidentiality of Substance Use Disorder (SUD) Patient Records (42 CFR Part 2),Final Rule,2024-02-16,Healthcare,Final rule; effective,"Aligns Part 2 confidentiality requirements more closely with HIPAA/HITECH pursuant to the CARES Act, enabling a single patient consent for future uses/disclosures; adds anti‑discrimination protections; harmonizes breach notification and enforcement provisions.",AI analytics and decision support using SUD data must honor Part 2 consent and redisclosure restrictions. Developers and providers should segregate sensitive data and document lawful bases when training or operating models that involve SUD records.,Medium,Privacy & Data,Providers & Health Systems; Patients & Public; Regulators & Government,https://www.govinfo.gov/content/pkg/FR-2024-02-16/pdf/2024-02544.pdf
FDA (CDRH),Marketing Submission Recommendations for a Predetermined Change Control Plan (PCCP) for AI/ML-Enabled Device Software Functions,Final Guidance,2024-03,Medical Devices,Final,"Final guidance describing how to include a Predetermined Change Control Plan (PCCP) in marketing submissions for AI‑enabled device software functions. Explains PCCP components (Description of Modifications, Modification Protocol, Impact Assessment) and FDA’s review expectations.","Enables post‑market, pre‑authorized model updates without new submissions when within an approved PCCP–accelerating safe iteration of AI‑enabled devices. Hospitals and clinicians can expect timelier performance improvements with clearer labeling and change controls.",Medium,,Providers & Health Systems,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/marketing-submission-recommendations-predetermined-change-control-plan-artificial-intelligence
FDA (CDER/CBER),Using Artificial Intelligence & Machine Learning in the Development of Drug & Biological Products,Discussion Paper,2023-05-10,Cross-cutting AI policy,Discussion,"Explores applications of AI/ML across drug and biological product development (e.g., trial design, data integrity, pharmacovigilance), poses questions for stakeholder feedback, and outlines future policy considerations.","Signals regulatory expectations for AI use in clinical trials and manufacturing; sponsors should plan for transparency, validation, and risk management for AI‑enabled methods.",Medium,Clinical Quality & Efficacy,,https://www.fda.gov/media/167973/download
FDA (CDRH),Artificial Intelligence/Machine Learning (AI/ML)–Based SaMD Action Plan,Program/Framework,2021-01-12,Cross-cutting AI policy,Final,"Overview of FDA’s approach to AI/ML in Software as a Medical Device (SaMD), including policy initiatives, guiding principles, and links to guidance and resources. Describes regulatory considerations for AI/ML devices and ongoing engagement activities.",Provides implementers and developers with reference materials to align AI/ML device development and post‑market practices with FDA expectations.,Medium,Transparency & Governance; Clinical Quality & Efficacy,Providers & Health Systems; Patients & Public,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-software-medical-device
HHS OCR,Section 1557 Nondiscrimination in Health Programs and Activities,Final Rule,2024-04-26,Privacy & Security (HIPAA),Final,"Finalizes regulations implementing Section 1557 of the ACA, strengthening nondiscrimination protections across covered health programs, including requirements for language access, effective communication, and protections against discrimination in clinical algorithms and telehealth.","Covered entities must assess AI‑mediated tools for discriminatory impacts, ensure accessible digital services, and update policies, training, and notices. Implications span patient intake, triage, benefit design, and algorithm transparency.",High,Clinical Quality & Efficacy; Equity & Bias,Providers & Health Systems; Payers & Purchasers; Developers & Vendors,https://www.federalregister.gov/documents/2024/05/06/2024-08711/nondiscrimination-in-health-programs-and-activities
Office of National Coordinator for Health IT,"HTI-1 Final Rule (Health Data, Technology, and Interoperability)",Final Rule,2024-01-09,Health IT / EHRs,Finalized,Summarizes the ONC HTI‑1 final rule: adopts the Decision Support Interventions (DSI) certification criterion with transparency for predictive models; adopts USCDI v3; moves to an edition‑less certification framework; updates information blocking; and creates the Insights Condition and Maintenance of Certification.,"Impacts EHRs and certified health IT by requiring disclosures for predictive DSIs, improving interoperability, and enabling safer AI integration. Providers and developers must update documentation and compliance practices to meet staged deadlines.",Medium,Privacy & Data; Transparency & Governance,Providers & Health Systems; Patients & Public; Developers & Vendors; Regulators & Government,https://www.healthit.gov/topic/laws-regulation-and-policy/health-data-technology-and-interoperability-certification-program
FDA,AI/ML-Based Software as a Medical Device (SaMD) Action Plan,Action Plan,2021-01-12,Medical Devices,Issued,"Outlines FDA’s proposed actions to advance oversight of AI/ML‑based SaMD, including issuing guidances (e.g., PCCP), fostering Good Machine Learning Practice (GMLP), and supporting a total product lifecycle approach.","Signals regulatory roadmap that developers and health systems can use to anticipate requirements for AI device validation, updates, and post‑market monitoring.",Medium,,Providers & Health Systems; Patients & Public; Regulators & Government,https://www.fda.gov/media/145022/download
Health and Human Services Department,Medicare and State Health Care Programs: Fraud and Abuse; Revisions to Safe Harbors and Civil Monetary Penalty Rules,Final Rule,2020-12-02,Healthcare,Finalized,"Revises Anti‑Kickback Statute safe harbors and Civil Monetary Penalty rules to protect certain value‑based arrangements, patient engagement tools, and care coordination supports.","Establishes compliance pathways that can encompass digital health and some AI‑enabled services when structured within protected arrangements, reducing fraud‑and‑abuse risk.",Medium,Clinical Quality & Efficacy,Providers & Health Systems; Regulators & Government,https://www.federalregister.gov/documents/2020/12/02/2020-26072/medicare-and-state-health-care-programs-fraud-and-abuse-revisions-to-safe-harbors-under-the
Department of Health and Human Services,"Health Data, Technology, and Interoperability: Certification Program Updates, Algorithm Transparency, and Information Sharing",Rulemaking Docket,2024-01-09,Health IT / EHRs,Closed for Comments,Docket entry with supporting materials and public comments for the ONC HTI‑1 rulemaking.,"Provides source materials, public input, and references implementers can consult when operationalizing HTI‑1 requirements (e.g., DSI transparency).",Medium,Transparency & Governance,Providers & Health Systems; Patients & Public; Developers & Vendors; Regulators & Government,https://www.regulations.gov/document/HHS-OS-2024-0002-0001
Federal Trade Commission,Health Breach Notification Rule (HBNR) – Final Rule Amendments,Final Rule,2024-05-30,Health Apps & DTC Digital Health,Final Rule,"Amends the HBNR to clarify coverage of health apps and connected devices, expand definitions (e.g., PHR related entities), and specify breach notification triggers and methods, with an effective date of July 29, 2024.",Non‑HIPAA health apps and consumer digital health services handling sensitive data–including AI‑powered apps–must meet stricter breach notification duties. Health systems partnering with such apps should update vendor risk management and incident response plans.,Medium,Privacy & Data,Developers & Vendors,https://www.federalregister.gov/documents/2024/05/30/2024-10855/health-breach-notification-rule
National Institutes of Health,NOT-OD-23-149 – Use of Generative AI Technologies is Prohibited for the NIH Peer Review Process,Policy Notice,2023-06-23,Research,Policy Notice,"Clarifies that NIH prohibits peer reviewers from using generative AI or other automated tools to analyze or draft critiques for NIH peer review, citing confidentiality and integrity requirements. Reinforces existing rules under NOT‑OD‑22‑044.",Affects academic medical centers and researchers involved in NIH review. Reinforces data handling and integrity expectations around AI tools in research processes.,Low,,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-149.html
ASTP/Office of the National Coordinator for Health IT,HTI-2 Final Rule – Trusted Exchange and Information Blocking Updates,Final Rule,2024-12-17,Health IT / EHRs,Final Rule,"Finalizes select proposals from HTI‑2 to support access, exchange, and use of EHI. Amends information blocking regulations (including TEFCA‑related definitions) and advances Trusted Exchange Framework and Common Agreement (TEFCA) alignment.","Strengthens nationwide interoperability and clarifies information‑blocking scope, enabling safer deployment of AI that depends on cross‑network data access. HIEs, EHRs, and providers should update policies and system behaviors accordingly.",Medium,,Providers & Health Systems; Developers & Vendors,https://www.federalregister.gov/documents/2024/12/17/2024-29683/health-data-technology-and-interoperability-protecting-care-access
Food and Drug Administration,Advisory Committee; Digital Health Advisory Committee; Addition to List of Standing Committees,Notice,2024-02-22,Healthcare,Finalized,"Adds the Digital Health Advisory Committee to FDA’s list of standing advisory committees. The committee provides advice on digital health technologies, including AI/ML-enabled devices, remote patient monitoring, clinical decision support, and clinical trial technologies.",Signals ongoing FDA engagement on AI and digital health issues affecting device evaluation and post‑market policies. Clinicians and developers can anticipate structured public input on digital health topics.,Medium,Clinical Quality & Efficacy,Providers & Health Systems; Patients & Public; Developers & Vendors; Regulators & Government,https://www.federalregister.gov/documents/2024/02/22/2024-03618/advisory-committee-digital-health-advisory-committee-addition-to-list-of-standing-committees
Food and Drug Administration,Medical Devices; Gastroenterology-Urology Devices; Classification of the Gastrointestinal Lesion Software Detection System,Docket,2023-01-03,Medical Devices,Closed for Comments,Docket record and supporting materials associated with the class II classification of the gastrointestinal lesion software detection system (GI Genius).,Provides background documents and references that clinicians and developers can review for technical and regulatory context regarding AI‑assisted endoscopy tools.,Medium,,Providers & Health Systems; Patients & Public; Developers & Vendors; Regulators & Government,https://www.regulations.gov/document/FDA-2022-N-3207-0001
Food and Drug Administration,Artificial Intelligence-Enabled Device Software Functions: Lifecycle Management & Marketing Submission Recommendations,Draft Guidance,2025-01-07,Medical Devices (SaMD/SiMD),Draft Guidance,Draft guidance outlining documentation and lifecycle considerations for marketing submissions involving AI‑enabled device software functions. Provides recommended content for safety/effectiveness evaluation and total product lifecycle (TPLC) practices.,Helps device developers and provider‑innovators structure submissions and ongoing model management for AI‑enabled SaMD/SiMD. Supports iterative improvement with clarity on evidence and transparency expectations.,Medium,,Providers & Health Systems; Patients & Public; Regulators & Government,https://www.federalregister.gov/documents/2025/01/07/2024-31543/artificial-intelligence-enabled-device-software-functions-lifecycle-management-and-marketing
Food and Drug Administration,Considerations for the Use of Artificial Intelligence To Support Regulatory Decision-Making for Drug & Biological Products,Draft Guidance,2025-01-07,Drugs & Biologics (Regulatory Science),Draft Guidance,"Draft guidance recommending practices for use of AI to generate information intended to support regulatory decisions for drugs/biologics, including transparency, validation, and risk management.","Sponsors using AI in clinical development and CMC should align methods and documentation with FDA expectations, improving credibility and reproducibility of AI‑derived evidence.",Medium,Privacy & Data; Clinical Quality & Efficacy,Regulators & Government,https://www.federalregister.gov/documents/2025/01/07/2024-31542/considerations-for-the-use-of-artificial-intelligence-to-support-regulatory-decision-making-for-drug
Food and Drug Administration,Predetermined Change Control Plans (PCCPs) for Medical Devices,Draft Guidance,2024-08-22,Medical Devices (SaMD/SiMD),Draft Guidance,"Announces availability of draft guidance on PCCPs for medical devices, describing how sponsors can pre‑specify certain post‑market modifications and validation methods.","Facilitates responsible iteration of AI‑enabled devices via pre‑authorized change plans, enabling faster updates with appropriate safeguards.",Medium,,Providers & Health Systems; Patients & Public; Regulators & Government,https://www.federalregister.gov/documents/2024/08/22/2024-18828/predetermined-change-control-plans-for-medical-devices-draft-guidance-for-industry-and-food-and-drug
Food and Drug Administration,Medical Devices; Laboratory Developed Tests,Final Rule,2024-05-06,Medical Devices,Final Rule,"Amends FDA regulations to clarify that IVDs, including those manufactured by laboratories, are devices under the FD&C Act; phases out general enforcement discretion and establishes staged compliance timelines over four years.","Clinical laboratories and health systems must plan for registration/listing, quality system, and–where applicable–premarket review. AI‑assisted diagnostics using LDTs should assess impact on validation evidence, labeling, and post‑market obligations.",Medium,,Providers & Health Systems; Regulators & Government,https://www.federalregister.gov/documents/2024/05/06/2024-08935/medical-devices-laboratory-developed-tests
,,,,,,,,,,,
,,,,,,,,,,,
Note #1: Many of these sector-specific regulations have less direct implications for AI-in-healthcare than in the other sections. I figure that those interested in these niche sector-specific regulations would find this useful.,,,,,,,,,,,
"Note #2: HHS umbrella items -- If an item under “HHS” is clearly HIPAA/ONC/CMS/FDA by its title (e.g., “Information Blocking…”, “HIPAA Privacy Rule…”), keep it Sector-Specific.",,,,,,,,,,,
