Issuing Body,Regulation Name,Sector,Date Issued/Significantly Updated,Policy Type,Status,Summary,Healthcare Implications,Impact Level,Keyword Tags,Stakeholder Tags
Department of Health and Human Services,HTI-2 Final Rule – Trusted Exchange and Information Blocking Updates,Health IT,2024-12-17,Final Rule,Final,"Finalizes select proposals from HTI‑2 to support access, exchange, and use of Electronic Health Information. Amends information blocking regulations (including TEFCA‑related definitions) and advances Trusted Exchange Framework and Common Agreement alignment.","Strengthens nationwide interoperability and clarifies information‑blocking scope, enabling safer deployment of AI that depends on cross‑network data access. HIEs, EHRs, and providers should update policies and system behaviors accordingly.",Medium,,Providers & Health Systems; Developers & Vendors
Centers for Medicare & Medicaid Services,Medicare and Medicaid Programs and CHIP; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and LTCH PPS and FY 2025 Rates; Quality Programs Requirements,Hospitals,2024-08-28,Final Rule,Final,"Revises hospital inpatient and long‑term care hospitals prospective payment system rates and policies for FY 2025, updates quality and reporting programs, and makes related technical changes. Includes adjustments to graduate medical education policies and clarifications across inpatient hospital payment provisions.","Updates to quality reporting and documentation indirectly shape requirements for Electronic Health Record configuration, coding, and analytics. Hospitals using AI for documentation integrity, quality tracking, or measure abstraction should confirm alignment with the updated policies. Finance and compliance teams should assess downstream impacts on revenue cycle tools.",Low,,Providers & Health Systems; Patients & Public; Payers & Purchasers
Food and Drug Administration,Predetermined Change Control Plans or Medical Devices,Medical Devices,2024-08-22,Draft Guidance,Draft,"Announces availability of draft guidance on Predetermined Change Control Plans for medical devices, describing how sponsors can pre‑specify certain post‑market modifications and validation methods.","Facilitates responsible iteration of AI‑enabled devices via pre‑authorized change plans, enabling faster updates with appropriate safeguards.",Medium,,Providers & Health Systems; Patients & Public; Regulators & Government
Federal Trade Commission,Health Breach Notification Rule – Final Rule Amendments,Health IT,2024-05-30,Final Rule,Final,"Amends the Health Breach Notification Rule to clarify coverage of health apps and connected devices, expand definitions (e.g., Personal Health Record related entities), and specify breach notification triggers and methods, with an effective date of July 29, 2024.",Non‑Health Insurance Portability and Accountability Act health apps and consumer digital health services handling sensitive data–including AI‑powered apps–must meet stricter breach notification duties. Health systems partnering with such apps should update vendor risk management and incident response plans.,Medium,Privacy & Data,Developers & Vendors
Centers for Medicare & Medicaid Services,Nondiscrimination in Health Programs and Activities,Cross-cutting Healthcare,2024-05-06,Final Rule,Final,"Finalizes CY 2024 updates to the Physician Fee Schedule and other Medicare Part B policies, including coding/payment updates, changes to the Quality Payment Program, and clarifications for telehealth and behavioral health services.","Updates affect clinician reimbursement and reporting that interact with Electronic Health Record templates, clinical decision support, and AI‑assisted documentation. Telehealth and behavioral health provisions influence digital tools used in outpatient care and remote monitoring programs.",High,Equity & Bias,Providers & Health Systems; Patients & Public; Payers & Purchasers; Regulators & Government
Food and Drug Administration,Medical Devices; Laboratory Developed Tests,Medical Devices,2024-05-06,Final Rule,Final,"Amends U.S. Food and Drug Administration regulations to clarify that in vitro diagnostics, including those manufactured by laboratories, are devices under the FD&C Act; phases out general enforcement discretion and establishes staged compliance timelines over four years.","Clinical laboratories and health systems must plan for registration/listing, quality system, and–where applicable–premarket review. AI‑assisted diagnostics using Laboratory Developed Tests should assess impact on validation evidence, labeling, and post‑market obligations.",Medium,,Providers & Health Systems; Regulators & Government
Department of Health and Human Services,Section 1557 Nondiscrimination in Health Programs and Activities,Privacy & Security,2024-04-26,Final Rule,Final,"Finalizes regulations implementing Section 1557 of the ACA, strengthening nondiscrimination protections across covered health programs, including requirements for language access, effective communication, and protections against discrimination in clinical algorithms and telehealth.","Covered entities must assess AI‑mediated tools for discriminatory impacts, ensure accessible digital services, and update policies, training, and notices. Implications span patient intake, triage, benefit design, and algorithm transparency.",High,Clinical Quality & Efficacy; Equity & Bias,Providers & Health Systems; Payers & Purchasers; Developers & Vendors
Centers for Medicare & Medicaid Services,Medicare Program; Changes to MA and Part D for CY 2024 & 2025,Insurance,2024-04-23,Final Rule,Final,"Medicare hospital outpatient prospective payment system and ambulatory surgical center payment policies for the specified year, including packaging, device pass‑throughs, and quality reporting updates. Also includes technical corrections and clarifications.","Outpatient payment and reporting changes impact how hospitals and ambulatory surgical center configure Electronic Health Record charge capture, quality dashboards, and any AI‑assisted coding or utilization management tools. Device and pass‑through updates may affect adoption pathways for AI‑enabled devices and diagnostics.",Medium,,Providers & Health Systems; Patients & Public; Payers & Purchasers
Department of Health and Human Services,Use of Online Tracking Technologies,Cross-cutting Healthcare,2024-03-18,Guidance,Issued,Clarifies when identifiers collected via pixels/cookies/SDKs on patient‑facing sites/apps are Protected Health Information and how covered entities must manage such tools under HIPAA.,"Impacts telemetry stacks feeding analytics/AI (personalization, risk scoring). Requires revisiting tag configuration, consent/BAA posture, and logging; implementation should account for the court’s partial vacatur.",Medium,Privacy & Data; Transparency & Governance,Providers & Health Systems; Developers & Vendors; Regulators & Government; Patients & Public
Food and Drug Administration,Marketing Submission Recommendations for a Predetermined Change Control Plan for AI/ML-Enabled Device Software Functions,Medical Devices,2024-03,Final Guidance,Final,"Final guidance describing how to include a Predetermined Change Control Plan in marketing submissions for AI‑enabled device software functions. Explains PCCP components (Description of Modifications, Modification Protocol, Impact Assessment) and U.S. Food and Drug Administration's review expectations.","Enables post‑market, pre‑authorized model updates without new submissions when within an approved Predetermined Change Control Plan – accelerating safe iteration of AI‑enabled devices. Hospitals and clinicians can expect timelier performance improvements with clearer labeling and change controls.",Medium,,Providers & Health Systems
Food and Drug Administration,Advisory Committee; Digital Health Advisory Committee; Addition to List of Standing Committees,Cross-cutting Healthcare,2024-02-22,Notice,Final,"Adds the Digital Health Advisory Committee to U.S. Food and Drug Administration’s list of standing advisory committees. The committee provides advice on digital health technologies, including Artificial Intelligence/Machine Learning-enabled devices, remote patient monitoring, clinical decision support, and clinical trial technologies.",Signals ongoing U.S. Food and Drug Administration engagement on AI and digital health issues affecting device evaluation and post‑market policies. Clinicians and developers can anticipate structured public input on digital health topics.,Medium,Clinical Quality & Efficacy,Providers & Health Systems; Patients & Public; Developers & Vendors; Regulators & Government
Department of Health and Human Services,Confidentiality of Substance Use Disorder Patient Records (42 CFR Part 2),Cross-cutting Healthcare,2024-02-16,Final Rule,Final,"Aligns Part 2 confidentiality requirements more closely with Health Insurance Portability and Accountability Act (HIPAA)/HITECH pursuant to the CARES Act, enabling a single patient consent for future uses/disclosures; adds anti‑discrimination protections; harmonizes breach notification and enforcement provisions.",AI analytics and decision support using SUD data must honor Part 2 consent and redisclosure restrictions. Developers and providers should segregate sensitive data and document lawful bases when training or operating models that involve SUD records.,Medium,Privacy & Data,Providers & Health Systems; Patients & Public; Regulators & Government
Centers for Medicare & Medicaid Services,Medicare and Medicaid Programs; Advancing Interoperability and Improving Prior Authorization Processes,Health IT,2024-02-08,Final Rule,Final,"Improves electronic exchange of health data and streamlines prior authorization by requiring application programming interfaces (e.g., Prior Authorization Support, Patient Access, Payer‑to‑Payer), shorter prior authorization decision timeframes, and new metrics reporting for impacted payers.","Directly affects AI‑assisted prior authorization and care coordination. Payers and providers must integrate Application Programming Interface (API)‑based PA workflows, which enable automation and analytics while preserving transparency, timelines, and patient access.",Medium,Transparency & Governance,Providers & Health Systems; Patients & Public; Payers & Purchasers
Department of Health and Human Services,CMS-0057-F – Interoperability & Prior Authorization Final Rule,Cross-cutting Healthcare,2024-02-08,Final Rule,Final,"Final rule to improve electronic exchange of health data and streamline prior authorization. Requires covered payers to implement Prior Authorization, Provider Access, and Payer‑to‑Payer APIs; send decisions within set timeframes; and include decision rationales.","Reshapes payer automation where AI is embedded: faster, more transparent prior authorization decisions and standardized APIs support audibility of algorithmic determinations and electronic health record integration. Expect vendor updates and tighter governance for model‑assisted utilization management workflows.",Medium,Transparency & Governance; Clinical Quality & Efficacy,Payers & Purchasers; Providers & Health Systems; Patients & Public; Regulators & Government
Department of Health and Human Services,"Health Data, Technology, and Interoperability: Certification Program Updates, Algorithm Transparency, and Information Sharing",Health IT,2024-01-09,Rulemaking Docket,Draft,Docket entry with supporting materials and public comments for the Assistant Secretary for Technology Policy's HTI‑1 rulemaking.,"Provides source materials, public input, and references implementers can consult when operationalizing HTI‑1 requirements (e.g., DSI transparency).",Medium,Transparency & Governance,Providers & Health Systems; Patients & Public; Developers & Vendors; Regulators & Government
Assistant Secretary for Technology Policy,HTI-1 Final Rule,Health IT,2024-01-09,Final Rule,Final,Summarizes the Assistant Secretary for Technology Policy's HTI‑1 final rule: adopts the Decision Support Interventions (DSI) certification criterion with transparency for predictive models; adopts USCDI v3; moves to an edition‑less certification framework; updates information blocking; and creates the Insights Condition and Maintenance of Certification.,"Impacts EHRs and certified health IT by requiring disclosures for predictive DSIs, improving interoperability, and enabling safer AI integration. Providers and developers must update documentation and compliance practices to meet staged deadlines.",Medium,Privacy & Data; Transparency & Governance,Providers & Health Systems; Patients & Public; Developers & Vendors; Regulators & Government
Centers for Medicare & Medicaid Services,Medicare Program: Hospital Outpatient Prospective Payment and ASC Payment Systems; Payment for Intensive Outpatient Services and Other Policies,Cross-cutting Healthcare,2023-11-22,Final Rule,Final,"Finalizes CY 2025 updates to the Physician Fee Schedule and other Medicare Part B policies, including relative value unit updates, coverage/payment clarifications, and Quality Payment Program changes.","Impacts clinician billing and reporting systems that often embed AI‑assisted coding, documentation, and quality tracking. Outpatient digital health and remote monitoring programs should validate any code/payment changes.",Low,,Providers & Health Systems; Payers & Purchasers
Centers for Medicare & Medicaid Services,Medicare Program: Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems (CY 2023 OPPS/ASC),Cross-cutting Healthcare,2023-11-22,Final Rule,Final,"Finalizes CY 2024 updates to Outpatient Prospective Payment System and Ambulatory Surgical Center payment systems, revising payment rates, device pass‑through policies, and OQR/ASCQR measures. Includes clarifications and technical changes across outpatient policy areas.",Outpatient reimbursement and reporting updates affect AI‑assisted coding/analytics and quality measure extraction. Hospitals and ASCs should verify measure logic and documentation templates against CY 2024 rules.,Low,,Providers & Health Systems; Patients & Public; Payers & Purchasers; Developers & Vendors
Centers for Medicare & Medicaid Services,Medicare and Medicaid Programs; CY 2024 Physician Fee Schedule and Other Policy Changes,Cross-cutting AI policy,2023-11-16,Final Rule,Final,"Companion entry related to CY 2024 Physician Fee Schedule updates and associated Part B policy changes, including Quality Payment Program updates and telehealth provisions.","Similar implications as CY 2024 for Electronic Health Record configurations, AI‑assisted documentation, and quality/telehealth workflows in outpatient settings.",Low,,Payers & Purchasers; Developers & Vendors; Regulators & Government
National Institutes of Health,NOT-OD-23-149 – Use of Generative AI Technologies is Prohibited for the NIH Peer Review Process,Research,2023-06-23,Policy Notice,Issued,"Clarifies that National Institutes of Health prohibits peer reviewers from using generative AI or other automated tools to analyze or draft critiques for NIH peer review, citing confidentiality and integrity requirements. Reinforces existing rules under NOT‑OD‑22‑044.",Affects academic medical centers and researchers involved in National Institutes of Health review. Reinforces data handling and integrity expectations around AI tools in research processes.,Low,,
Food and Drug Administration,Using Artificial Intelligence & Machine Learning in the Development of Drug & Biological Products,Cross-cutting AI policy,2023-05-10,Discussion Paper,In Development,"Explores applications of Artificial Intelligence/Machine Learning across drug and biological product development (e.g., trial design, data integrity, pharmacovigilance), poses questions for stakeholder feedback, and outlines future policy considerations.","Signals regulatory expectations for AI use in clinical trials and manufacturing; sponsors should plan for transparency, validation, and risk management for AI‑enabled methods.",Medium,Clinical Quality & Efficacy,
Food and Drug Administration,Medical Devices; Gastroenterology-Urology Devices; Classification of the Gastrointestinal Lesion Software Detection System,Medical Devices,2023-01-03,Docket,Draft,Docket record and supporting materials associated with the class II classification of the gastrointestinal lesion software detection system (GI Genius).,Provides background documents and references that clinicians and developers can review for technical and regulatory context regarding AI‑assisted endoscopy tools.,Medium,,Providers & Health Systems; Patients & Public; Developers & Vendors; Regulators & Government
Centers for Medicare & Medicaid Services,Medicare Program: Hospital Outpatient Prospective Payment and ASC Payment Systems and Quality Reporting Programs; Organ Acquisition; Rural Emergency Hospitals and Other Policies,Cross-cutting Healthcare,2022-11-23,Final Rule,Final,"Finalizes CY 2023 updates to the Physician Fee Schedule and other Medicare Part B policies, including valuation changes, telehealth flexibilities, and Quality Payment Program updates.",Continues telehealth and digital health coverage pathways that underpin AI‑enabled remote care and documentation tools. Clinician groups should align AI‑assisted workflows with Quality Payment Program and coding changes.,Low,,Providers & Health Systems; Patients & Public; Payers & Purchasers
Centers for Medicare & Medicaid Services,Medicare and Medicaid Programs; CY 2023 Physician Fee Schedule and Other Part B Policies,Cross-cutting AI policy,2022-11-18,Final Rule,Final,"Updates hospital outpatient prospective payment system and ambulatory surgical center payment policies for CY 2023, including packaging policies, device pass‑throughs, and outpatient quality reporting changes.",Outpatient coding and quality reporting are touchpoints for AI‑assisted documentation integrity and analytics. Changes may affect adoption and billing pathways for AI‑enabled devices/diagnostics.,Low,,Patients & Public; Payers & Purchasers
Centers for Medicare & Medicaid Services,Medicare Program: CY 2022 Payment Policies Under the Physician Fee Schedule and Other Changes to Part B Payment Policies...,Cross-cutting Healthcare,2021-11-19,Final Rule,Final,"Finalizes CY 2022 Physician Fee Schedule updates and associated Part B policy changes, including coding/valuation, telehealth, and Quality Payment Program provisions.","Impacts outpatient care delivery, documentation, and reporting–including AI‑assisted coding and virtual care workflows.",Low,,Providers & Health Systems; Patients & Public; Payers & Purchasers
Centers for Medicare & Medicaid Services,Medicare Program: Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems; Quality Reporting Programs; Price Transparency; Radiation Oncology Model (CY 2021 OPPS/ASC),Cross-cutting Healthcare,2021-11-16,Final Rule,Final,"Updates the Medicare hospital Outpatient Prospective Payment System and Ambulatory Surgical Center payments for CY 2022; adjusts packaging, device pass‑throughs, and Outpatient Quality Reporting measures; and finalizes various policy clarifications.",Influences outpatient coding and reimbursement; hospitals and Ambulatory Surgical Centers should update Electronic Health Record charge capture and quality dashboards. AI‑assisted documentation integrity and utilization analytics should reflect CY 2022 OPPS/OQR specifications.,Low,,Providers & Health Systems; Patients & Public; Payers & Purchasers; Developers & Vendors
U.S. FDA; Health Canada; UK MHRA,Good Machine Learning Practice for Medical Device Development,Medical Devices,2021-10-27,Final Guidance,Final,"Tri‑agency principles for machine learning‑enabled medical devices covering good practices across the total product lifecycle (data, training, testing, deployment, and ongoing learning) to promote safety, effectiveness, and quality.","Device developers and clinical collaborators can use the principles as scaffolding for validation, change management, and transparency – especially for continuously learning models.",Medium,Clinical Quality & Efficacy,Providers & Health Systems; Regulators & Government
U.S. Department of Health & Human Services,Trustworthy AI Playbook,Cross-cutting Healthcare,2021-09-30,Final Guidance,Final,"U.S. Department of Health and Human Services Office of the Chief AI Officer playbook outlining trustworthy AI concepts, building blocks, and project lifecycle considerations to support ethical, effective, and secure AI solutions across the Department.","Provides a reference for U.S. Department of Health and Human Services‑funded entities and partners; concepts map to governance artifacts (e.g., risk assessments, monitoring plans) used by health systems and vendors working with federal programs.",Medium,Transparency & Governance; Equity & Bias,Providers & Health Systems; Patients & Public
Centers for Medicare & Medicaid Services,Medicare Program; Hospital Inpatient Prospective Payment Systems and FY 2022 Rates,Hospitals,2021-08-13,Final Rule,Final,"Medicare payment policy update for the specified year (Inpatient Prospective Payment System/Outpatient Prospective Payment System), including payment rate recalibrations, quality reporting program changes, and technical corrections.",Expect adjustments to Electronic Health Record-linked reporting and documentation. AI‑enabled analytics used for quality and revenue integrity should reflect updated specifications.,Low,,Providers & Health Systems; Patients & Public; Payers & Purchasers; Developers & Vendors
Food and Drug Administration,Artificial Intelligence/Machine Learning–Based SaMD Action Plan,Cross-cutting AI policy,2021-01-12,Program/Framework,Final,"Overview of U.S. Food and Drug Administration’s approach to Artificial Intelligence/Machine Learning in Software as a Medical Device, including policy initiatives, guiding principles, and links to guidance and resources. Describes regulatory considerations for AI/ML devices and ongoing engagement activities.",Provides implementers and developers with reference materials to align Artificial Intelligence/Machine Learning device development and post‑market practices with U.S. Food and Drug Administration expectations.,Medium,Transparency & Governance; Clinical Quality & Efficacy,Providers & Health Systems; Patients & Public
Food and Drug Administration,AI/ML-Based Software as a Medical Device Action Plan,Medical Devices,2021-01-12,Action Plan,Issued,"Outlines U.S. Food and Drug Administration’s proposed actions to advance oversight of Artificial Intelligence/Machine Learning‑based Software as a Medical Device, including issuing guidances (e.g., Predetermined Change Control Plan), fostering Good Machine Learning Practice, and supporting a total product lifecycle approach.","Signals regulatory roadmap that developers and health systems can use to anticipate requirements for AI device validation, updates, and post‑market monitoring.",Medium,,Providers & Health Systems; Patients & Public; Regulators & Government
Centers for Medicare & Medicaid Services,Medicare Program: Hospital Outpatient Prospective Payment and ASC Payment Systems; Prior Authorization; COVID-19 Reporting and Other Policies,Cross-cutting Healthcare,2020-12-29,Final Rule,Final,"Finalizes CY 2021 Physician Fee Schedule updates, including Evaluation and Management coding changes, telehealth expansions, and various Part B policy clarifications.","Evaluation and Management and telehealth changes drive updates to Electronic Health Record templates, coding automation, and AI‑assisted documentation/triage tools.",Low,,Providers & Health Systems; Patients & Public; Payers & Purchasers; Regulators & Government
Centers for Medicare & Medicaid Services,Medicare and Medicaid Programs; CY 2021 Physician Fee Schedule and Other Part B Policies,Cross-cutting AI policy,2020-12-28,Final Rule,Final,Companion entry tied to CY 2021 PFS final rule release timing and technical corrections.,"Same implications as CY 2021 PFS final rule – coding, telehealth, and AI‑assisted outpatient workflows.",Low,,Patients & Public; Payers & Purchasers; Developers & Vendors
Department of Health and Human Services,Medicare and State Health Care Programs: Fraud and Abuse; Revisions to Safe Harbors and Civil Monetary Penalty Rules,Cross-cutting Healthcare,2020-12-02,Final Rule,Final,"Revises Anti‑Kickback Statute safe harbors and Civil Monetary Penalty rules to protect certain value‑based arrangements, patient engagement tools, and care coordination supports.","Establishes compliance pathways that can encompass digital health and some AI‑enabled services when structured within protected arrangements, reducing fraud‑and‑abuse risk.",Medium,Clinical Quality & Efficacy,Providers & Health Systems; Regulators & Government
Centers for Medicare & Medicaid Services,Medicare Program; Revisions to Payment Policies Under the Physician Fee Schedule and Other Part B for CY 2019,Cross-cutting Healthcare,2018-11-23,Final Rule,Final,"Finalizes CY 2019 updates to the Medicare Physician Fee Schedule  and other Part B policies, including Evaluation and Management documentation changes, telehealth-related services, and quality program updates. Adjusts relative value units and addresses coding/valuation changes. Includes technical corrections and clarifications across Part B benefits.","Affects outpatient reimbursement and reporting that drive Electronic Health Record configuration, coding workflows, and AI‑assisted documentation. Telehealth provisions help define coverage pathways for virtual services supported by AI screening/triage. Clinician groups should align analytics and quality reporting tools with CY 2019 specifications.",Low,Clinical Quality & Efficacy,Patients & Public; Payers & Purchasers; Developers & Vendors
Centers for Medicare & Medicaid Services,Medicare Program; Revisions to Payment Policies Under the Physician Fee Schedule and Other Part B for CY 2017,Cross-cutting Healthcare,2016-11-15,Final Rule,Final,"Finalizes CY 2017 changes to the Medicare PFS and related Part B policies, including updates to the Value Modifier and quality programs, coding/valuation adjustments, and other technical changes. Establishes policies foundational to later Quality Payment Program implementation.",Impacts physician billing and reporting practices that interact with Electronic Health Record templates and AI‑assisted coding. Quality program changes inform measure capture and analytics pipelines used for performance tracking.,Low,,Providers & Health Systems; Payers & Purchasers; Developers & Vendors
