Issuing Body,Regulation Name,Sector,Date Issued/Significantly Updated,Policy Type,Status,Summary,Healthcare Implications,Impact Level,Keyword Tags,Stakeholder Tags,Link to Text
Federal Trade Commission,Section 6(b) Market Study – AI Companion Chatbots,Cross-cutting AI policy,2025-09-11,Study,In Development,"Federal Trade Commission issued compulsory orders to several 'AI companion' chatbot companies under Section 6(b), seeking information on data practices, safety safeguards, marketing claims, and impacts on minors and vulnerable users.","Not binding for providers, but frames consumer‑protection risks; health systems and vendors should review chatbot use, disclosures, and guardrails, anticipating stricter expectations or enforcement around mental‑health harms.",Low,Safety & Risk; Privacy & Data; Equity & Bias,Patients & Public; Developers & Vendors; Regulators & Government,https://www.ftc.gov/news-events/news/press-releases/2025/09/ftc-launches-inquiry-ai-chatbots-acting-companions
National Institute of Standards and Technology,AI Standards “Zero Drafts” Pilot – Extended Outline for Documentation of AI Datasets and Models,Cross-cutting AI policy,2025-09-10,Standards Pilot,Comments Open,"National Institute of Standards and Technology released an outline for a forthcoming ‘zero draft’ standard on documentation of AI datasets and models, requesting input on transparency artifacts, provenance, curation, metadata, and quality reporting.","Developers can align documentation templates early, easing future conformance; health systems may require such artifacts in procurement, improving reproducibility and auditability of clinical‑AI training datasets.",Low,Transparency & Governance; Safety & Risk,Developers & Vendors; Regulators & Government; Providers & Health Systems,https://www.nist.gov/document/extended-outline-proposed-zero-draft-standard-documentation-ai-datasets-and-ai-models
Centers for Medicare & Medicaid Services,Guidance for Responsible Use of Artificial Intelligence at CMS,Cross-cutting AI policy,2025-08-26,Guidance,Active,"Internal CMS information security and privacy guidance that sets best practices for CMS staff, contractors, and partners using generative AI tools, with a focus on safeguarding PII and PHI, avoiding disclosure of sensitive CMS data to public AI systems, maintaining human oversight, documentation, and risk assessment aligned with NIST AI RMF and federal directives.","Strengthens governance around AI use within Medicare, Medicaid, and Marketplace operations by restricting how CMS-related health data can be fed into AI tools, pushing vendors and contractors to meet stricter privacy and security expectations, and indirectly shaping how analytics and automation that touch federal health programs are designed, deployed, and monitored.",Medium,Safety & Risk; Privacy & Data; Transparency & Governance,Regulators & Government; Payers & Purchasers; Developers & Vendors; Patients & Public,https://security.cms.gov/policy-guidance/guidance-responsible-use-artificial-intelligence-ai-cms
National Institutes of Health,Supporting Fairness and Originality in NIH Research Applications,Biomedical Research,2025-08-05,Notice,Issued,Sets expectations for appropriate use of AI tools in NIH grant applications to preserve fairness and originality.,"Academic medical centers and investigators must adjust internal grant‑writing practices, disclosures, and oversight for AI tool use. Research offices should update policies to ensure originality and document acceptable AI assistance.",Medium,Transparency & Governance; Equity & Bias,Developers & Vendors; Providers & Health Systems; Regulators & Government,https://www.federalregister.gov/documents/2025/08/05/2025-14744/supporting-fairness-and-originality-in-nih-research-applications
Centers for Medicare & Medicaid Services,Medicare Program; Hospital Inpatient Prospective Payment Systems and Long-Term Care Hospital Prospective Payment System FY 2026 Rule,Hospitals,2025-08-04,Final Rule,Final,Updates Medicare hospital inpatient and long‑term care hospital prospective payment system policies and rates for FY 2026; adjusts quality reporting and value‑based programs; and finalizes several policy clarifications and technical changes. Includes provisions affecting graduate medical education and hospital quality measures.,"Impacts hospital reimbursement, quality reporting, and documentation practices that interact with Electronic Health Records and AI‑enabled analytics. Changes to measure sets and program requirements shape how hospitals deploy clinical decision support and reporting automations. Budget and compliance teams should align AI/analytics workflows with updated payment and quality policies.",Low,,Providers & Health Systems; Patients & Public; Payers & Purchasers; Developers & Vendors,https://www.federalregister.gov/documents/2025/08/04/2025-14681/medicare-program-hospital-inpatient-prospective-payment-systems-for-acute-care-hospitals-ipps-and
Agency for Healthcare Research and Quality,Artificial Intelligence in Healthcare Safety Program,Patient Safety,2025-07-01,Program,Issued,"Establishes an AI in Healthcare Safety Program within the Patient Safety Organization framework to identify harms and near‑misses from AI used in care. Provides resources and a pathway for learning from incidents, informed by EO 14110 and PSO confidentiality protections.","Hospitals and PSOs gain a structured channel to report and analyze AI‑related safety events. Risk and quality teams should integrate AI incident capture, root‑cause analysis, and feedback loops into PSO workflows.",Medium,Safety & Risk; Transparency & Governance,Providers & Health Systems; Regulators & Government; Developers & Vendors,https://pso.ahrq.gov/resources/ai-healthcare-safety
Centers for Medicare & Medicaid Services,WISeR (Wasteful and Inappropriate Service Reduction) Model,Medicaid/Medicare,2025-07-01,Model Notice,Active,"Six-year CMS Innovation Center model that uses technology-enabled prior authorization, including artificial intelligence and machine learning with human clinical review, to target select Medicare fee-for-service items and services considered vulnerable to fraud, waste, and abuse in six pilot states.","The model introduces AI-assisted prior authorization for Original Medicare beneficiaries, affecting providers and patients through new review workflows, documentation expectations, and oversight of denials, and raising important questions about transparency, fairness, and access to medically necessary care when AI is used to flag or deny services.",Medium,Safety & Risk; Clinical Quality & Efficacy; Equity & Bias; Transparency & Governance,Providers & Health Systems; Payers & Purchasers; Patients & Public,https://www.cms.gov/priorities/innovation/innovation-models/wiser
Department of Health and Human Services,Ensuring Nondiscrimination Through the Use of Artificial Intelligence and Other Emerging Technologies,Cross-cutting Healthcare,2025-01-10,Guidance,In Effect,"OCR issued a Dear Colleague letter reminding Section 1557–covered entities (health care providers, health plans, and other HHS-funded health programs) that they may not discriminate through their use of “patient care decision support tools,” including AI-driven algorithms and predictive analytics. The letter explains how OCR will apply federal civil rights laws to AI and other emerging technologies, and highlights risks such as biased training data, opaque model behavior, and inadequate human oversight.","The guidance reinforces that hospitals, clinicians, and insurers remain legally responsible for outcomes when they rely on AI tools in clinical care or coverage decisions, even when those tools are built by vendors. It encourages governance steps such as pre-deployment impact assessments, monitoring model performance across protected groups, updating contracts with AI vendors, and revising internal policies to ensure AI-assisted decisions do not lead to discriminatory access, coverage, or quality of care.",Low,Equity & Bias; Safety & Risk; Clinical Quality & Efficacy; Transparency & Governance,Providers & Health Systems; Patients & Public; Payers & Purchasers; Developers & Vendors; Regulators & Government,https://www.hhs.gov/sites/default/files/ocr-dcl-section-1557-artificial-intelligence.pdf
Food and Drug Administration,Artificial Intelligence-Enabled Device Software Functions: Lifecycle Management & Marketing Submission Recommendations,Medical Devices,2025-01-07,Draft Guidance,Draft,Draft guidance outlining documentation and lifecycle considerations for marketing submissions involving AI‑enabled device software functions. Provides recommended content for safety/effectiveness evaluation and total product lifecycle practices.,Helps device developers and provider‑innovators structure submissions and ongoing model management for AI‑enabled Software as a Medical Device. Supports iterative improvement with clarity on evidence and transparency expectations.,Medium,,Providers & Health Systems; Patients & Public; Regulators & Government,https://www.federalregister.gov/documents/2025/01/07/2024-31543/artificial-intelligence-enabled-device-software-functions-lifecycle-management-and-marketing
Food and Drug Administration,Considerations for the Use of Artificial Intelligence To Support Regulatory Decision-Making for Drug & Biological Products,Drugs & Biologics,2025-01-07,Draft Guidance,Draft,"Draft guidance recommending practices for use of AI to generate information intended to support regulatory decisions for drugs/biologics, including transparency, validation, and risk management.","Sponsors using AI in clinical development and CMC should align methods and documentation with U.S. Food and Drug Administration expectations, improving credibility and reproducibility of AI‑derived evidence.",Medium,Privacy & Data; Clinical Quality & Efficacy,Regulators & Government,https://www.federalregister.gov/documents/2025/01/07/2024-31542/considerations-for-the-use-of-artificial-intelligence-to-support-regulatory-decision-making-for-drug
Office of the National Coordinator for Health Information Technology,"HTI-3 Final Rule – Health Data, Technology, and Interoperability: Protecting Care Access",Health IT,2024-12-17,Final Rule,Final,"Final rule amending ONC’s information-blocking regulations to revise the Privacy and Infeasibility exceptions and create a new Protecting Care Access Exception. The rule specifies circumstances in which actors may restrict access, exchange, or use of electronic health information without engaging in information blocking when the practice is intended to reduce legal risk and protect patients, providers, or others in connection with lawful reproductive health care.","Affects the health-data environment used by providers, health information networks, certified health IT developers, and downstream analytics or AI-enabled tools. The rule is not AI-specific, but it changes how organizations may manage access to sensitive reproductive-health-related electronic health information, which matters for privacy governance, data-sharing workflows, and the availability of data used in clinical, operational, and analytics systems.",Medium,Privacy & Data; Transparency & Governance; Safety & Risk,Providers & Health Systems; Patients & Public; Developers & Vendors; Regulators & Government,https://www.federalregister.gov/documents/2024/12/17/2024-29683/health-data-technology-and-interoperability-protecting-care-access
Office of the National Coordinator for Health Information Technology,HTI-2 Final Rule – Trusted Exchange Framework and Common Agreement (TEFCA),Health IT,2024-12-16,Final Rule,Final,"Final rule implementing selected TEFCA-related proposals from the HTI-2 proposed rule. The rule amends information-blocking regulations by adding definitions related to the TEFCA Manner Exception, establishes 45 CFR Part 172 provisions governing TEFCA, supports reliability, privacy, security, and trust within TEFCA, and makes limited administrative updates to the ONC Health IT Certification Program.","Strengthens the nationwide health-information exchange infrastructure that AI-enabled tools, analytics systems, and clinical workflows depend on for access to interoperable electronic health information. The rule is not AI-specific, but it affects health IT developers, health information networks, providers, and other actors by clarifying TEFCA governance and information-blocking rules that shape how health data can be accessed, exchanged, and used.",Medium,Transparency & Governance; Privacy & Data; Safety & Risk,Providers & Health Systems; Developers & Vendors; Regulators & Government; Patients & Public,https://www.federalregister.gov/documents/2024/12/16/2024-29163/health-data-technology-and-interoperability-trusted-exchange-framework-and-common-agreement-tefca
Centers for Medicare & Medicaid Services,Medicare and Medicaid Programs and CHIP; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and LTCH PPS and FY 2025 Rates; Quality Programs Requirements,Hospitals,2024-08-28,Final Rule,Final,"Revises hospital inpatient and long‑term care hospitals prospective payment system rates and policies for FY 2025, updates quality and reporting programs, and makes related technical changes. Includes adjustments to graduate medical education policies and clarifications across inpatient hospital payment provisions.","Updates to quality reporting and documentation indirectly shape requirements for Electronic Health Record configuration, coding, and analytics. Hospitals using AI for documentation integrity, quality tracking, or measure abstraction should confirm alignment with the updated policies. Finance and compliance teams should assess downstream impacts on revenue cycle tools.",Low,,Providers & Health Systems; Patients & Public; Payers & Purchasers,https://www.federalregister.gov/documents/2024/08/28/2024-17021/medicare-and-medicaid-programs-and-the-childrens-health-insurance-program-hospital-inpatient
Federal Trade Commission,Health Breach Notification Rule – Final Rule Amendments,Health IT,2024-05-30,Final Rule,Final,"Amends the Health Breach Notification Rule to clarify coverage of health apps and connected devices, expand definitions (e.g., Personal Health Record related entities), and specify breach notification triggers and methods, with an effective date of July 29, 2024.",Non‑Health Insurance Portability and Accountability Act health apps and consumer digital health services handling sensitive data–including AI‑powered apps–must meet stricter breach notification duties. Health systems partnering with such apps should update vendor risk management and incident response plans.,Medium,Privacy & Data,Developers & Vendors,https://www.federalregister.gov/documents/2024/05/30/2024-10855/health-breach-notification-rule
Department of Health and Human Services,Section 1557 Nondiscrimination in Health Programs and Activities,Privacy & Security,2024-05-06,Final Rule,Final,"Finalizes regulations implementing Section 1557 of the ACA, strengthening nondiscrimination protections across covered health programs, including requirements for language access, effective communication, and protections against discrimination in clinical algorithms and telehealth.","Covered entities must assess AI‑mediated tools for discriminatory impacts, ensure accessible digital services, and update policies, training, and notices. Implications span patient intake, triage, benefit design, and algorithm transparency.",High,Clinical Quality & Efficacy; Equity & Bias,Providers & Health Systems; Payers & Purchasers; Developers & Vendors,https://www.federalregister.gov/documents/2024/05/06/2024-08711/nondiscrimination-in-health-programs-and-activities
Department of Health & Human Services,"Plan for Promoting Responsible Use of Artificial Intelligence in Automated and Algorithmic Systems by State, Local, Tribal, and Territorial Governments in Public Benefit Administration",Cross-cutting Healthcare,2024-04-29,Action Plan,Active,"HHS plan, required by Executive Order 14110, that sets out principles and recommended practices for state, local, tribal, and territorial governments using AI and other automated systems in the administration of HHS-funded public benefit programs.","Encourages agencies administering Medicaid, CHIP, and other health-related benefits to assess and mitigate risks when using AI-driven eligibility and case-management tools, including monitoring for discriminatory impacts, ensuring human review and clear appeals processes, and aligning with frameworks like the NIST AI RMF and OMB AI governance memos.",Medium,Safety & Risk; Equity & Bias; Transparency & Governance; Privacy & Data,Regulators & Government; Patients & Public; Payers & Purchasers,https://www.hhs.gov/sites/default/files/public-benefits-and-ai.pdf
Centers for Medicare & Medicaid Services,Medicare Program; Changes to MA and Part D for CY 2024 & 2025,Insurance,2024-04-23,Final Rule,Final,"Medicare hospital outpatient prospective payment system and ambulatory surgical center payment policies for the specified year, including packaging, device pass‑throughs, and quality reporting updates. Also includes technical corrections and clarifications.","Outpatient payment and reporting changes impact how hospitals and ambulatory surgical center configure Electronic Health Record charge capture, quality dashboards, and any AI‑assisted coding or utilization management tools. Device and pass‑through updates may affect adoption pathways for AI‑enabled devices and diagnostics.",Medium,,Providers & Health Systems; Patients & Public; Payers & Purchasers,https://www.federalregister.gov/documents/2024/04/23/2024-07105/medicare-program-changes-to-the-medicare-advantage-and-the-medicare-prescription-drug-benefit
Department of Health and Human Services,Use of Online Tracking Technologies,Cross-cutting Healthcare,2024-03-18,Guidance,Issued,Clarifies when identifiers collected via pixels/cookies/SDKs on patient‑facing sites/apps are Protected Health Information and how covered entities must manage such tools under HIPAA.,"Impacts telemetry stacks feeding analytics/AI (personalization, risk scoring). Requires revisiting tag configuration, consent/BAA posture, and logging; implementation should account for the court’s partial vacatur.",Medium,Privacy & Data; Transparency & Governance,Providers & Health Systems; Developers & Vendors; Regulators & Government; Patients & Public,https://www.hhs.gov/hipaa/for-professionals/privacy/guidance/hipaa-online-tracking/index.html
Food and Drug Administration,Marketing Submission Recommendations for a Predetermined Change Control Plan for AI/ML-Enabled Device Software Functions,Medical Devices,2025-07-18,Final Guidance,Final,"Final guidance describing how to include a Predetermined Change Control Plan in marketing submissions for AI‑enabled device software functions. Explains PCCP components (Description of Modifications, Modification Protocol, Impact Assessment) and U.S. Food and Drug Administration's review expectations.","Enables post‑market, pre‑authorized model updates without new submissions when within an approved Predetermined Change Control Plan – accelerating safe iteration of AI‑enabled devices. Hospitals and clinicians can expect timelier performance improvements with clearer labeling and change controls.",Medium,,Providers & Health Systems,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/marketing-submission-recommendations-predetermined-change-control-plan-artificial-intelligence
Food and Drug Administration,Advisory Committee; Digital Health Advisory Committee; Addition to List of Standing Committees,Cross-cutting Healthcare,2024-02-22,Notice,Final,"Adds the Digital Health Advisory Committee to U.S. Food and Drug Administration’s list of standing advisory committees. The committee provides advice on digital health technologies, including Artificial Intelligence/Machine Learning-enabled devices, remote patient monitoring, clinical decision support, and clinical trial technologies.",Signals ongoing U.S. Food and Drug Administration engagement on AI and digital health issues affecting device evaluation and post‑market policies. Clinicians and developers can anticipate structured public input on digital health topics.,Medium,Clinical Quality & Efficacy,Providers & Health Systems; Patients & Public; Developers & Vendors; Regulators & Government,https://www.federalregister.gov/documents/2024/02/22/2024-03618/advisory-committee-digital-health-advisory-committee-addition-to-list-of-standing-committees
Department of Health and Human Services,Confidentiality of Substance Use Disorder Patient Records (42 CFR Part 2),Cross-cutting Healthcare,2024-02-16,Final Rule,Final,"Aligns Part 2 confidentiality requirements more closely with Health Insurance Portability and Accountability Act (HIPAA)/HITECH pursuant to the CARES Act, enabling a single patient consent for future uses/disclosures; adds anti‑discrimination protections; harmonizes breach notification and enforcement provisions.",AI analytics and decision support using SUD data must honor Part 2 consent and redisclosure restrictions. Developers and providers should segregate sensitive data and document lawful bases when training or operating models that involve SUD records.,Medium,Privacy & Data,Providers & Health Systems; Patients & Public; Regulators & Government,https://www.govinfo.gov/content/pkg/FR-2024-02-16/pdf/2024-02544.pdf
Centers for Medicare & Medicaid Services,CMS-0057-F – Interoperability & Prior Authorization Final Rule,Cross-cutting Healthcare,2024-02-08,Final Rule,Final,"Final rule to improve electronic exchange of health data and streamline prior authorization. Requires covered payers to implement Prior Authorization, Provider Access, and Payer‑to‑Payer APIs; send decisions within set timeframes; and include decision rationales.","Reshapes payer automation where AI is embedded: faster, more transparent prior authorization decisions and standardized APIs support audibility of algorithmic determinations and electronic health record integration. Expect vendor updates and tighter governance for model‑assisted utilization management workflows.",Medium,Transparency & Governance; Clinical Quality & Efficacy,Payers & Purchasers; Providers & Health Systems; Patients & Public; Regulators & Government,https://www.federalregister.gov/documents/2024/02/08/2024-00895/medicare-and-medicaid-programs-patient-protection-and-affordable-care-act-advancing-interoperability
Centers for Medicare & Medicaid Services,FAQ on Coverage Criteria and Utilization Management Requirements in CMS-4201-F (Medicare Advantage Final Rule),Medicaid/Medicare,2024-02-06,FAQ,In Effect,"CMS issued an HPMS memo with FAQs on implementation of the 2024 Medicare Advantage and Part D final rule (CMS-4201-F), including clarifications on the use of algorithms and artificial intelligence in coverage determinations and utilization management. The memo explains that MA organizations and other plans may not use algorithms or AI as the sole basis for denying, terminating, or downgrading services and must base decisions on an individual enrollee’s medical history, provider recommendations, and relevant clinical notes.","It operationalizes CMS’s MA rule for plans that use AI or algorithmic tools in utilization management by reinforcing that human clinical judgment and individualized assessment are required. Plans must evaluate and monitor AI-enabled UM tools for compliance with Medicare coverage criteria and nondiscrimination obligations, which may reduce inappropriate denials, promote more consistent coverage decisions, and shape how vendors design AI-driven utilization management products.",Medium,Safety & Risk; Clinical Quality & Efficacy; Transparency & Governance,Payers & Purchasers; Providers & Health Systems; Patients & Public; Developers & Vendors; Regulators & Government,https://www.cms.gov/files/document/hpms-memo-faq-coverage-criteria-and-utilization-management-020604pdf.pdf
Food and Drug Administration,Quality Management System Regulation,Medical Devices,2024-02-02,Final Rule,Final,"Final FDA rule amending the device current good manufacturing practice (CGMP) requirements in 21 CFR part 820 to harmonize with ISO 13485:2016 and related quality-management standards; the rule became effective February 2, 2026.","Directly affects medical device manufacturers, including developers of AI-enabled devices and software, by changing quality-system, documentation, supplier-control, and inspection expectations. Health systems and vendors using AI devices should expect stronger lifecycle governance and compliance alignment.",Medium,Clinical Quality & Efficacy; Safety & Risk; Transparency & Governance,Developers & Vendors; Providers & Health Systems; Regulators & Government,https://www.fda.gov/medical-devices/postmarket-requirements-devices/quality-management-system-regulation-qmsr
Office of the National Coordinator for Health Information Technology,"HTI-1 Final Rule – Certification Program Updates, Algorithm Transparency, and Information Sharing",Health IT,2024-01-09,Final Rule,Final,"Final rule updating the ONC Health IT Certification Program, including first-of-its-kind transparency requirements for artificial intelligence and other predictive decision-support interventions that are part of certified health IT. The rule adopts the Decision Support Interventions certification criterion, expands source-attribute information for predictive tools, requires developer risk-management practices for certain predictive DSIs, adopts USCDI v3, updates information-blocking provisions, and creates the Insights Condition and Maintenance of Certification.","Creates concrete transparency and governance requirements for predictive and AI-enabled decision-support tools embedded in certified EHRs and health IT. Certified health IT developers must support standardized information that helps hospitals and clinicians understand a tool’s intended use, development, training data, performance, fairness, limitations, and risk-management practices, making this one of the most operationally significant federal health-AI transparency rules.",High,Transparency & Governance; Safety & Risk; Clinical Quality & Efficacy; Privacy & Data; Equity & Bias,Providers & Health Systems; Developers & Vendors; Regulators & Government; Patients & Public,https://www.federalregister.gov/documents/2024/01/09/2023-28857/health-data-technology-and-interoperability-certification-program-updates-algorithm-transparency-and
Centers for Medicare & Medicaid Services,Medicare Program: Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems (CY 2024 OPPS/ASC),Cross-cutting Healthcare,2023-11-22,Final Rule,Final,"Finalizes CY 2024 updates to Outpatient Prospective Payment System and Ambulatory Surgical Center payment systems, revising payment rates, device pass‑through policies, and OQR/ASCQR measures. Includes clarifications and technical changes across outpatient policy areas.",Outpatient reimbursement and reporting updates affect AI‑assisted coding/analytics and quality measure extraction. Hospitals and ASCs should verify measure logic and documentation templates against CY 2024 rules.,Low,,Providers & Health Systems; Patients & Public; Payers & Purchasers; Developers & Vendors,https://www.federalregister.gov/documents/2023/11/22/2023-24293/medicare-program-hospital-outpatient-prospective-payment-and-ambulatory-surgical-center-payment
