Issuing Body,Regulation Name,Sector,Date Issued/Significantly Updated,Policy Type,Status,Summary,Healthcare Implications,Impact Level,Keyword Tags,Stakeholder Tags,Link to Text,Last Updated
Centers for Medicare & Medicaid Services,Medicare Program; Hospital Inpatient Prospective Payment Systems and Long-Term Care Hospital Prospective Payment System FY 2026 Rule,Hospitals,2025-08-04,Final Rule,Final,Updates Medicare hospital inpatient and long‑term care hospital prospective payment system policies and rates for FY 2026; adjusts quality reporting and value‑based programs; and finalizes several policy clarifications and technical changes. Includes provisions affecting graduate medical education and hospital quality measures.,"Impacts hospital reimbursement, quality reporting, and documentation practices that interact with Electronic Health Records and AI‑enabled analytics. Changes to measure sets and program requirements shape how hospitals deploy clinical decision support and reporting automations. Budget and compliance teams should align AI/analytics workflows with updated payment and quality policies.",Low,,Providers & Health Systems; Patients & Public; Payers & Purchasers; Developers & Vendors,https://www.federalregister.gov/documents/2025/08/04/2025-14681/medicare-program-hospital-inpatient-prospective-payment-systems-for-acute-care-hospitals-ipps-and,8/20/25
Agency for Healthcare Research and Quality,Artificial Intelligence in Healthcare Safety Program,Patient Safety,2025-07-01,Final Rule,Issued,"Establishes an AI in Healthcare Safety Program within the Patient Safety Organization framework to identify harms and near‑misses from AI used in care. Provides resources and a pathway for learning from incidents, informed by EO 14110 and PSO confidentiality protections.","Hospitals and PSOs gain a structured channel to report and analyze AI‑related safety events. Risk and quality teams should integrate AI incident capture, root‑cause analysis, and feedback loops into PSO workflows.",Medium,Safety & Risk; Transparency & Governance,Providers & Health Systems; Regulators & Government; Developers & Vendors,https://pso.ahrq.gov/resources/ai-healthcare-safety,10/15/25
Centers for Medicare & Medicaid Services – Innovation Center (CMMI),WISeR (Wasteful and Inappropriate Service Reduction) Model,Medicaid/Medicare,2025-07-01,Model Notice,Active,"Six-year CMS Innovation Center model that uses technology-enabled prior authorization, including artificial intelligence and machine learning with human clinical review, to target select Medicare fee-for-service items and services considered vulnerable to fraud, waste, and abuse in six pilot states.","The model introduces AI-assisted prior authorization for Original Medicare beneficiaries, affecting providers and patients through new review workflows, documentation expectations, and oversight of denials, and raising important questions about transparency, fairness, and access to medically necessary care when AI is used to flag or deny services.",Medium,Safety & Risk; Clinical Quality & Efficacy; Equity & Bias; Transparency & Governance,Providers & Health Systems; Payers & Purchasers; Patients & Public,https://www.cms.gov/priorities/innovation/innovation-models/wiser,
Centers for Medicare & Medicaid Services,"Medicare and Medicaid Programs; Contract Year 2026 Policy and Technical Changes to Medicare Advantage, Part D, Cost Plans, and PACE",Insurance,2025-04-15,Final Rule,Final,"Finalizes Contract Year 2026 policy and technical changes for Medicare Advantage (Part C), Part D, cost plans, and for the Program of All-Inclusive Care for the Elderly, including adjustments to the Medicare Prescription Payment Plan, D‑SNPs, Star Ratings, utilization management, and other programmatic areas. Implements Inflation Reduction Act‑related changes and clarifies several beneficiary protections.","Affects plan operations, prior authorization, and beneficiary communications–areas where plans increasingly use AI for triage, utilization review, and member outreach. Transparency and documentation requirements inform how AI‑assisted workflows must be governed. Providers may experience updated prior authorization processes and data exchange with Medicare Advantage/Part D plans.",Medium,Equity & Bias,Providers & Health Systems; Patients & Public; Payers & Purchasers,https://www.federalregister.gov/documents/2025/04/15/2025-06008/medicare-and-medicaid-programs-contract-year-2026-policy-and-technical-changes-to-the-medicare,8/20/25
Department of Health and Human Services,Ensuring Nondiscrimination Through the Use of Artificial Intelligence and Other Emerging Technologies,Cross-cutting Healthcare,2025-01-10,Guidance,In Effect,"OCR issued a Dear Colleague letter reminding Section 1557–covered entities (health care providers, health plans, and other HHS-funded health programs) that they may not discriminate through their use of “patient care decision support tools,” including AI-driven algorithms and predictive analytics. The letter explains how OCR will apply federal civil rights laws to AI and other emerging technologies, and highlights risks such as biased training data, opaque model behavior, and inadequate human oversight.","The guidance reinforces that hospitals, clinicians, and insurers remain legally responsible for outcomes when they rely on AI tools in clinical care or coverage decisions, even when those tools are built by vendors. It encourages governance steps such as pre-deployment impact assessments, monitoring model performance across protected groups, updating contracts with AI vendors, and revising internal policies to ensure AI-assisted decisions do not lead to discriminatory access, coverage, or quality of care.",Low,Equity & Bias; Safety & Risk; Clinical Quality & Efficacy; Transparency & Governance,Providers & Health Systems; Patients & Public; Payers & Purchasers; Developers & Vendors; Regulators & Government,https://us.pagefreezer.com/en-US/wa/browse/0a7f82bb-be6e-448a-ae11-373d22c37842?url=https:%2F%2Fwww.hhs.gov%2Fsites%2Fdefault%2Ffiles%2Focr-dcl-section-1557-artificial-intelligence.pdf&timestamp=2025-01-22T07:02:54Z,1/12/26
Food and Drug Administration,Artificial Intelligence-Enabled Device Software Functions: Lifecycle Management & Marketing Submission Recommendations,Medical Devices,2025-01-07,Draft Guidance,Draft,Draft guidance outlining documentation and lifecycle considerations for marketing submissions involving AI‑enabled device software functions. Provides recommended content for safety/effectiveness evaluation and total product lifecycle practices.,Helps device developers and provider‑innovators structure submissions and ongoing model management for AI‑enabled Software as a Medical Device. Supports iterative improvement with clarity on evidence and transparency expectations.,Medium,,Providers & Health Systems; Patients & Public; Regulators & Government,https://www.federalregister.gov/documents/2025/01/07/2024-31543/artificial-intelligence-enabled-device-software-functions-lifecycle-management-and-marketing,8/20/25
Food and Drug Administration,Considerations for the Use of Artificial Intelligence To Support Regulatory Decision-Making for Drug & Biological Products,Drugs & Biologics,2025-01-07,Draft Guidance,Draft,"Draft guidance recommending practices for use of AI to generate information intended to support regulatory decisions for drugs/biologics, including transparency, validation, and risk management.","Sponsors using AI in clinical development and CMC should align methods and documentation with U.S. Food and Drug Administration expectations, improving credibility and reproducibility of AI‑derived evidence.",Medium,Privacy & Data; Clinical Quality & Efficacy,Regulators & Government,https://www.federalregister.gov/documents/2025/01/07/2024-31542/considerations-for-the-use-of-artificial-intelligence-to-support-regulatory-decision-making-for-drug,8/20/25
Department of Health and Human Services,HTI-2 Final Rule – Trusted Exchange and Information Blocking Updates,Health IT,2024-12-17,Final Rule,Final,"Finalizes select proposals from HTI‑2 to support access, exchange, and use of Electronic Health Information. Amends information blocking regulations (including TEFCA‑related definitions) and advances Trusted Exchange Framework and Common Agreement alignment.","Strengthens nationwide interoperability and clarifies information‑blocking scope, enabling safer deployment of AI that depends on cross‑network data access. HIEs, EHRs, and providers should update policies and system behaviors accordingly.",Medium,,Providers & Health Systems; Developers & Vendors,https://www.federalregister.gov/documents/2024/12/17/2024-29683/health-data-technology-and-interoperability-protecting-care-access,8/20/25
Assistant Secretary for Technology Policy,"HTI-3 Final Rule – Health Data, Technology, and Interoperability: Protecting Care Access",Health IT,2024-12-17,Final Rule,Final,"Final rule that amends the information blocking regulations in 45 CFR part 171 by revising the Privacy and Infeasibility exceptions and adding a new Protecting Care Access exception, which specifies circumstances in which actors may restrict access, exchange, or use of electronic health information without it constituting information blocking when doing so helps protect patients and clinicians from legal risks related to reproductive health care.","Changes the conditions under which providers, health information networks, and health IT developers may decline to share certain reproductive-health-related EHI, reshaping the data environment that AI-enabled tools depend on and requiring organizations to update information blocking compliance programs, governance of health information exchange, and associated risk assessments for clinical and analytics systems.",Medium,Privacy & Data; Safety & Risk; Transparency & Governance,Providers & Health Systems; Patients & Public; Developers & Vendors; Payers & Purchasers; Regulators & Government,https://www.federalregister.gov/documents/2024/12/17/2024-29683/health-data-technology-and-interoperability-protecting-care-access,
Centers for Medicare & Medicaid Services,Medicare and Medicaid Programs and CHIP; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and LTCH PPS and FY 2025 Rates; Quality Programs Requirements,Hospitals,2024-08-28,Final Rule,Final,"Revises hospital inpatient and long‑term care hospitals prospective payment system rates and policies for FY 2025, updates quality and reporting programs, and makes related technical changes. Includes adjustments to graduate medical education policies and clarifications across inpatient hospital payment provisions.","Updates to quality reporting and documentation indirectly shape requirements for Electronic Health Record configuration, coding, and analytics. Hospitals using AI for documentation integrity, quality tracking, or measure abstraction should confirm alignment with the updated policies. Finance and compliance teams should assess downstream impacts on revenue cycle tools.",Low,,Providers & Health Systems; Patients & Public; Payers & Purchasers,https://www.federalregister.gov/documents/2024/08/28/2024-17021/medicare-and-medicaid-programs-and-the-childrens-health-insurance-program-hospital-inpatient,8/20/25
Food and Drug Administration,Predetermined Change Control Plans or Medical Devices,Medical Devices,2024-08-22,Draft Guidance,Draft,"Announces availability of draft guidance on Predetermined Change Control Plans for medical devices, describing how sponsors can pre‑specify certain post‑market modifications and validation methods.","Facilitates responsible iteration of AI‑enabled devices via pre‑authorized change plans, enabling faster updates with appropriate safeguards.",Medium,,Providers & Health Systems; Patients & Public; Regulators & Government,https://www.federalregister.gov/documents/2024/08/22/2024-18828/predetermined-change-control-plans-for-medical-devices-draft-guidance-for-industry-and-food-and-drug,8/20/25
Federal Trade Commission,Health Breach Notification Rule – Final Rule Amendments,Health IT,2024-05-30,Final Rule,Final,"Amends the Health Breach Notification Rule to clarify coverage of health apps and connected devices, expand definitions (e.g., Personal Health Record related entities), and specify breach notification triggers and methods, with an effective date of July 29, 2024.",Non‑Health Insurance Portability and Accountability Act health apps and consumer digital health services handling sensitive data–including AI‑powered apps–must meet stricter breach notification duties. Health systems partnering with such apps should update vendor risk management and incident response plans.,Medium,Privacy & Data,Developers & Vendors,https://www.federalregister.gov/documents/2024/05/30/2024-10855/health-breach-notification-rule,8/20/25
Centers for Medicare & Medicaid Services,Nondiscrimination in Health Programs and Activities,Cross-cutting Healthcare,2024-05-06,Final Rule,Final,"Finalizes CY 2024 updates to the Physician Fee Schedule and other Medicare Part B policies, including coding/payment updates, changes to the Quality Payment Program, and clarifications for telehealth and behavioral health services.","Updates affect clinician reimbursement and reporting that interact with Electronic Health Record templates, clinical decision support, and AI‑assisted documentation. Telehealth and behavioral health provisions influence digital tools used in outpatient care and remote monitoring programs.",High,Equity & Bias,Providers & Health Systems; Patients & Public; Payers & Purchasers; Regulators & Government,https://www.federalregister.gov/documents/2024/05/06/2024-08711/nondiscrimination-in-health-programs-and-activities,8/20/25
Food and Drug Administration,Medical Devices; Laboratory Developed Tests,Medical Devices,2024-05-06,Final Rule,Final,"Amends U.S. Food and Drug Administration regulations to clarify that in vitro diagnostics, including those manufactured by laboratories, are devices under the FD&C Act; phases out general enforcement discretion and establishes staged compliance timelines over four years.","Clinical laboratories and health systems must plan for registration/listing, quality system, and–where applicable–premarket review. AI‑assisted diagnostics using Laboratory Developed Tests should assess impact on validation evidence, labeling, and post‑market obligations.",Medium,,Providers & Health Systems; Regulators & Government,https://www.federalregister.gov/documents/2024/05/06/2024-08935/medical-devices-laboratory-developed-tests,8/20/25
U.S. Department of Health & Human Services (HHS),"Plan for Promoting Responsible Use of Artificial Intelligence in Automated and Algorithmic Systems by State, Local, Tribal, and Territorial Governments in Public Benefit Administration",Cross-cutting Healthcare,2024-04-29,Action Plan,Active,"HHS plan, required by Executive Order 14110, that sets out principles and recommended practices for state, local, tribal, and territorial governments using AI and other automated systems in the administration of HHS-funded public benefit programs.","Encourages agencies administering Medicaid, CHIP, and other health-related benefits to assess and mitigate risks when using AI-driven eligibility and case-management tools, including monitoring for discriminatory impacts, ensuring human review and clear appeals processes, and aligning with frameworks like the NIST AI RMF and OMB AI governance memos.",Medium,Safety & Risk; Equity & Bias; Transparency & Governance; Privacy & Data,Regulators & Government; Patients & Public; Payers & Purchasers,https://www.hhs.gov/sites/default/files/public-benefits-and-ai.pdf,
Department of Health and Human Services,Section 1557 Nondiscrimination in Health Programs and Activities,Privacy & Security,2024-04-26,Final Rule,Final,"Finalizes regulations implementing Section 1557 of the ACA, strengthening nondiscrimination protections across covered health programs, including requirements for language access, effective communication, and protections against discrimination in clinical algorithms and telehealth.","Covered entities must assess AI‑mediated tools for discriminatory impacts, ensure accessible digital services, and update policies, training, and notices. Implications span patient intake, triage, benefit design, and algorithm transparency.",High,Clinical Quality & Efficacy; Equity & Bias,Providers & Health Systems; Payers & Purchasers; Developers & Vendors,https://www.federalregister.gov/documents/2024/05/06/2024-08711/nondiscrimination-in-health-programs-and-activities,8/20/25
Centers for Medicare & Medicaid Services,Medicare Program; Changes to MA and Part D for CY 2024 & 2025,Insurance,2024-04-23,Final Rule,Final,"Medicare hospital outpatient prospective payment system and ambulatory surgical center payment policies for the specified year, including packaging, device pass‑throughs, and quality reporting updates. Also includes technical corrections and clarifications.","Outpatient payment and reporting changes impact how hospitals and ambulatory surgical center configure Electronic Health Record charge capture, quality dashboards, and any AI‑assisted coding or utilization management tools. Device and pass‑through updates may affect adoption pathways for AI‑enabled devices and diagnostics.",Medium,,Providers & Health Systems; Patients & Public; Payers & Purchasers,https://www.federalregister.gov/documents/2024/04/23/2024-07105/medicare-program-changes-to-the-medicare-advantage-and-the-medicare-prescription-drug-benefit,8/20/25
Department of Health and Human Services,Use of Online Tracking Technologies,Cross-cutting Healthcare,2024-03-18,Guidance,Issued,Clarifies when identifiers collected via pixels/cookies/SDKs on patient‑facing sites/apps are Protected Health Information and how covered entities must manage such tools under HIPAA.,"Impacts telemetry stacks feeding analytics/AI (personalization, risk scoring). Requires revisiting tag configuration, consent/BAA posture, and logging; implementation should account for the court’s partial vacatur.",Medium,Privacy & Data; Transparency & Governance,Providers & Health Systems; Developers & Vendors; Regulators & Government; Patients & Public,https://www.hhs.gov/hipaa/for-professionals/privacy/guidance/hipaa-online-tracking/index.html,9/30
Food and Drug Administration,Marketing Submission Recommendations for a Predetermined Change Control Plan for AI/ML-Enabled Device Software Functions,Medical Devices,2024-03,Final Guidance,Final,"Final guidance describing how to include a Predetermined Change Control Plan in marketing submissions for AI‑enabled device software functions. Explains PCCP components (Description of Modifications, Modification Protocol, Impact Assessment) and U.S. Food and Drug Administration's review expectations.","Enables post‑market, pre‑authorized model updates without new submissions when within an approved Predetermined Change Control Plan – accelerating safe iteration of AI‑enabled devices. Hospitals and clinicians can expect timelier performance improvements with clearer labeling and change controls.",Medium,,Providers & Health Systems,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/marketing-submission-recommendations-predetermined-change-control-plan-artificial-intelligence,8/20/25
Food and Drug Administration,Advisory Committee; Digital Health Advisory Committee; Addition to List of Standing Committees,Cross-cutting Healthcare,2024-02-22,Notice,Final,"Adds the Digital Health Advisory Committee to U.S. Food and Drug Administration’s list of standing advisory committees. The committee provides advice on digital health technologies, including Artificial Intelligence/Machine Learning-enabled devices, remote patient monitoring, clinical decision support, and clinical trial technologies.",Signals ongoing U.S. Food and Drug Administration engagement on AI and digital health issues affecting device evaluation and post‑market policies. Clinicians and developers can anticipate structured public input on digital health topics.,Medium,Clinical Quality & Efficacy,Providers & Health Systems; Patients & Public; Developers & Vendors; Regulators & Government,https://www.federalregister.gov/documents/2024/02/22/2024-03618/advisory-committee-digital-health-advisory-committee-addition-to-list-of-standing-committees,8/20/25
Department of Health and Human Services,Confidentiality of Substance Use Disorder Patient Records (42 CFR Part 2),Cross-cutting Healthcare,2024-02-16,Final Rule,Final,"Aligns Part 2 confidentiality requirements more closely with Health Insurance Portability and Accountability Act (HIPAA)/HITECH pursuant to the CARES Act, enabling a single patient consent for future uses/disclosures; adds anti‑discrimination protections; harmonizes breach notification and enforcement provisions.",AI analytics and decision support using SUD data must honor Part 2 consent and redisclosure restrictions. Developers and providers should segregate sensitive data and document lawful bases when training or operating models that involve SUD records.,Medium,Privacy & Data,Providers & Health Systems; Patients & Public; Regulators & Government,https://www.govinfo.gov/content/pkg/FR-2024-02-16/pdf/2024-02544.pdf,8/20/25
Centers for Medicare & Medicaid Services,Medicare and Medicaid Programs; Advancing Interoperability and Improving Prior Authorization Processes,Health IT,2024-02-08,Final Rule,Final,"Improves electronic exchange of health data and streamlines prior authorization by requiring application programming interfaces (e.g., Prior Authorization Support, Patient Access, Payer‑to‑Payer), shorter prior authorization decision timeframes, and new metrics reporting for impacted payers.","Directly affects AI‑assisted prior authorization and care coordination. Payers and providers must integrate Application Programming Interface (API)‑based PA workflows, which enable automation and analytics while preserving transparency, timelines, and patient access.",Medium,Transparency & Governance,Providers & Health Systems; Patients & Public; Payers & Purchasers,https://www.federalregister.gov/documents/2024/02/08/2024-00895/medicare-and-medicaid-programs-patient-protection-and-affordable-care-act-advancing-interoperability,8/20/25
Department of Health and Human Services,CMS-0057-F – Interoperability & Prior Authorization Final Rule,Cross-cutting Healthcare,2024-02-08,Final Rule,Final,"Final rule to improve electronic exchange of health data and streamline prior authorization. Requires covered payers to implement Prior Authorization, Provider Access, and Payer‑to‑Payer APIs; send decisions within set timeframes; and include decision rationales.","Reshapes payer automation where AI is embedded: faster, more transparent prior authorization decisions and standardized APIs support audibility of algorithmic determinations and electronic health record integration. Expect vendor updates and tighter governance for model‑assisted utilization management workflows.",Medium,Transparency & Governance; Clinical Quality & Efficacy,Payers & Purchasers; Providers & Health Systems; Patients & Public; Regulators & Government,https://www.federalregister.gov/documents/2024/02/08/2024-00895/medicare-and-medicaid-programs-patient-protection-and-affordable-care-act-advancing-interoperability,9//30
Centers for Medicare & Medicaid Services (CMS),FAQ on Coverage Criteria and Utilization Management Requirements in CMS-4201-F (Medicare Advantage Final Rule),Medicaid/Medicare,2024-02-06,FAQ,In Effect,"CMS issued an HPMS memo with FAQs on implementation of the 2024 Medicare Advantage and Part D final rule (CMS-4201-F), including clarifications on the use of algorithms and artificial intelligence in coverage determinations and utilization management. The memo explains that MA organizations and other plans may not use algorithms or AI as the sole basis for denying, terminating, or downgrading services and must base decisions on an individual enrollee’s medical history, provider recommendations, and relevant clinical notes.","It operationalizes CMS’s MA rule for plans that use AI or algorithmic tools in utilization management by reinforcing that human clinical judgment and individualized assessment are required. Plans must evaluate and monitor AI-enabled UM tools for compliance with Medicare coverage criteria and nondiscrimination obligations, which may reduce inappropriate denials, promote more consistent coverage decisions, and shape how vendors design AI-driven utilization management products.",Medium,Safety & Risk; Clinical Quality & Efficacy; Transparency & Governance,Payors & Purchasers; Providers & Health Systems; Patients & Public; Developers & Vendors; Regulators & Government,https://www.ahcancal.org/News-and-Communications/Blog/Pages/CMS-Releases-FAQs-Clarifying-2024-Medicare-Advantage-Final-Rule.aspx,1/12/26
Assistant Secretary for Technology Policy,"HTI-1 Final Rule – Certification Program Updates, Algorithm Transparency, and Information Sharing",Health IT,2024-01-09,Final Rule,Final,Summarizes the Assistant Secretary for Technology Policy's HTI‑1 final rule: adopts the Decision Support Interventions (DSI) certification criterion with transparency for predictive models; adopts USCDI v3; moves to an edition‑less certification framework; updates information blocking; and creates the Insights Condition and Maintenance of Certification.,"Impacts EHRs and certified health IT by requiring disclosures for predictive DSIs, improving interoperability, and enabling safer AI integration. Providers and developers must update documentation and compliance practices to meet staged deadlines.",Medium,Privacy & Data; Transparency & Governance,Providers & Health Systems; Patients & Public; Developers & Vendors; Regulators & Government,https://www.healthit.gov/topic/laws-regulation-and-policy/health-data-technology-and-interoperability-certification-program,8/20/25
Centers for Medicare & Medicaid Services,Medicare Program: Hospital Outpatient Prospective Payment and ASC Payment Systems; Payment for Intensive Outpatient Services and Other Policies,Cross-cutting Healthcare,2023-11-22,Final Rule,Final,"Finalizes CY 2025 updates to the Physician Fee Schedule and other Medicare Part B policies, including relative value unit updates, coverage/payment clarifications, and Quality Payment Program changes.","Impacts clinician billing and reporting systems that often embed AI‑assisted coding, documentation, and quality tracking. Outpatient digital health and remote monitoring programs should validate any code/payment changes.",Low,,Providers & Health Systems; Payers & Purchasers,https://www.federalregister.gov/documents/2023/11/22/2023-24293/medicare-program-hospital-outpatient-prospective-payment-and-ambulatory-surgical-center-payment,8/20/25
Centers for Medicare & Medicaid Services,Medicare Program: Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems (CY 2023 OPPS/ASC),Cross-cutting Healthcare,2023-11-22,Final Rule,Final,"Finalizes CY 2024 updates to Outpatient Prospective Payment System and Ambulatory Surgical Center payment systems, revising payment rates, device pass‑through policies, and OQR/ASCQR measures. Includes clarifications and technical changes across outpatient policy areas.",Outpatient reimbursement and reporting updates affect AI‑assisted coding/analytics and quality measure extraction. Hospitals and ASCs should verify measure logic and documentation templates against CY 2024 rules.,Low,,Providers & Health Systems; Patients & Public; Payers & Purchasers; Developers & Vendors,https://www.federalregister.gov/documents/2023/11/22/2023-24293/medicare-program-hospital-outpatient-prospective-payment-and-ambulatory-surgical-center-payment,8/20/25
